trial	row	vector
11	8	-1 0 0 0 1 0 1 1 -1 -1 -1 -1 -1 1 0 -1 0 0 0 -1 0
11	9	1 0 0 0 -1 1 -1 0 1 0 1 0 0 0 1 0 -1 0 0 -1 -1
11	10	0 0 0 0 0 0 0 0 0 1 0 0 -1 0 1 0 0 0 0 0 -1
11	11	1 1 -1 0 0 -1 1 0 0 1 0 0 0 0 0 0 0 0 -1 0 -1
11	12	0 -1 1 2 0 1 1 2 -1 -1 0 0 0 0 0 0 -1 -1 -1 0 -1
11	13	0 -1 0 1 1 0 1 1 -1 -1 -1 0 -1 1 -1 0 0 0 0 0 0
11	14	0 0 0 -1 0 0 -1 0 0 0 1 0 0 0 0 0 0 0 1 -1 0
11	15	0 -2 -1 0 2 1 -1 2 0 -1 1 2 1 1 -1 2 -2 0 0 -1 1
11	16	0 0 1 1 0 0 0 0 -1 0 -1 -1 0 0 0 -1 0 0 0 0 0
12	0	0 2 -2 -2 -1 -1 -2 -2 2 1 1 -1 0 -1 1 0 1 1 0 0 1
12	1	-1 0 0 0 1 1 0 1 0 -1 0 0 0 0 0 0 0 0 -1 0 0
12	2	1 0 -1 0 1 0 0 0 0 -1 -1 1 0 1 0 0 0 0 0 -1 1
12	3	-2 -1 1 1 1 1 0 1 -1 -2 0 0 0 -1 0 0 0 0 0 0 1
12	4	0 0 0 1 1 0 1 0 -1 -1 -1 0 1 -1 -1 0 0 0 -1 1 1
12	5	-2 -2 1 1 1 1 0 1 -1 -1 0 0 0 0 -1 0 -1 0 1 0 1
12	6	0 -1 0 0 1 0 0 2 -1 -1 0 0 0 1 0 0 -1 0 0 -1 0
12	7	0 -1 0 1 0 1 0 1 0 -1 0 0 0 0 0 0 -1 0 0 0 0
12	8	-1 1 0 0 1 0 1 0 -1 0 0 -1 0 0 -1 -1 0 0 0 0 0
12	9	0 -1 0 1 0 1 1 1 -1 0 0 0 0 0 -1 0 -1 0 0 0 0
12	10	-1 -1 1 0 0 1 -1 1 -1 -1 1 0 1 -1 -1 0 0 0 1 0 1
12	11	0 0 0 0 0 0 -1 0 0 0 0 0 0 1 0 0 0 1 0 -1 0
12	12	-1 -1 1 1 1 1 1 1 -1 -1 0 0 0 0 0 -1 -1 -1 0 0 0
12	13	0 -1 0 0 1 0 1 0 -1 0 0 1 1 0 -1 1 0 0 0 0 1
12	14	0 -1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 -1 0 0 0 0
12	15	-1 -1 1 1 2 1 1 2 -2 -1 -1 1 1 0 -1 0 -1 -1 0 0 1
12	16	0 0 0 0 -1 0 -1 -1 0 1 1 -1 0 0 0 0 0 0 1 0 -1
13	0	-1 -2 2 1 1 2 1 2 -1 -2 0 1 1 0 -1 1 -2 -1 0 0 0
13	1	0 2 -1 0 0 -1 -1 -2 1 1 -1 -1 0 -1 0 -1 1 1 0 0 1
13	2	-1 -1 1 1 1 1 0 1 -1 -1 0 0 1 0 -1 0 -1 0 0 0 0
13	3	0 0 -1 0 1 0 0 1 0 -1 0 0 1 1 0 0 -1 0 -1 -1 0
13	4	0 1 0 0 0 0 -1 -1 0 0 0 0 0 -1 0 0 1 0 0 1 0
13	5	0 2 -1 -1 -1 0 -1 -1 1 1 1 -1 -1 0 1 -1 0 0 0 0 -1
13	6	0 0 0 -1 0 0 -1 1 0 0 1 0 1 0 0 0 0 0 0 -1 0
13	7	-1 1 -1 -1 1 0 -1 -1 1 0 0 0 0 0 0 0 1 1 0 -1 1
13	8	-1 -1 1 1 1 0 2 1 -2 -1 -1 0 0 0 0 0 0 0 -1 1 0
13	9	0 0 1 0 -1 0 0 -1 0 1 0 0 0 -1 0 0 1 0 0 1 -1
13	10	-1 1 0 -1 0 0 -1 -1 0 1 1 -1 0 -1 0 0 1 0 0 0 0
13	11	-1 -1 0 1 2 0 0 0 -1 -1 -1 0 0 0 -1 0 0 1 0 0 1
13	12	0 0 1 1 1 0 1 0 -1 0 -2 0 0 0 -1 0 0 0 0 0 0
13	13	0 -1 0 1 1 0 0 1 -1 0 0 0 1 1 -1 0 -1 0 0 -1 0
13	14	0 -1 0 0 1 0 0 0 0 0 1 1 1 0 0 1 -1 0 0 0 0
13	15	0 1 0 0 -1 -1 0 -1 -1 0 -1 -1 -1 0 1 -1 2 1 0 0 0
13	16	-1 0 0 -1 1 0 0 1 -1 0 0 0 0 0 0 0 0 0 0 0 1
14	0	0 1 -1 -1 0 0 -2 -1 1 0 0 0 0 0 0 0 1 1 1 -1 1
14	1	0 0 0 1 0 0 1 0 0 0 -1 0 -1 0 0 0 0 0 0 1 -1
14	2	-1 0 0 0 1 0 -1 0 -1 -1 0 0 0 0 0 0 1 0 1 -1 1
14	3	0 1 -1 -1 0 0 -1 0 1 0 0 0 0 0 1 0 1 1 -1 -1 0
14	4	0 1 0 0 0 0 1 0 0 0 -1 0 0 0 1 0 0 0 -1 0 -1
14	5	0 2 -1 -1 -1 -1 -1 -2 1 1 0 -1 -1 0 1 -1 2 1 0 0 0
