priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
51829	82611	0x142b3	14	12	2	15	4	-2 2 0 0 1 0 -1 -1 1 2 -1 -1 0 0 -1 1 -1	-4 0 2 1 2 0 5 -3 1 -2 0 1 1 -2 -1 3 -3	-3 45 2 16 8 -6 -11 13 2 -4 -14 2 -8 -1 -14 -11 -1	1 -1 0 2 1 -3 2 1 -2 -1 -2 2 2 0 -1 0 1
51830	113133	0x1b9ed	14	12	2	15	2	-2 2 0 0 1 1 -1 -1 0 2 0 -1 -1 -1 0 1 -1	-4 0 2 -2 1 2 4 -3 1 0 1 1 2 -2 -3 3 -3	-17 11 3 21 10 -10 -5 2 6 2 -4 -6 7 -6 -16 -2 1	3 -2 -1 1 0 -3 3 1 -3 -2 -2 1 1 -1 0 1 1
51831	95994	0x176fa	14	12	2	15	2	-2 2 0 1 0 0 -1 -1 1 2 -1 -1 -1 0 0 1 -1	-8 -2 0 -1 1 4 6 -5 0 -2 1 1 2 -2 -4 4 -5	10 -5 -4 -16 -10 5 5 -4 -9 -2 -6 3 -2 4 10 1 -1	0 -1 0 1 1 -3 1 1 -2 -1 -1 2 1 -1 -1 0 1
51832	76629	0x12b55	14	12	2	15	3	-2 2 0 1 0 0 -1 -1 1 2 0 -1 -1 -1 0 1 -1	-7 -2 2 -3 2 4 6 -4 0 -1 1 1 3 -3 -4 5 -5	2 -18 -1 -14 -11 2 4 -9 -4 4 -4 1 6 -1 9 9 0	1 0 -1 0 1 -2 1 0 -1 -1 0 1 0 -1 0 0 1
51833	84821	0x14b55	14	12	2	15	1	-2 2 0 1 0 0 -1 0 1 2 0 -1 -1 -1 -1 1 -1	0 0 4 0 0 -1 1 -1 0 1 1 2 1 -2 0 2 -1	5 6 1 -13 -10 1 -7 1 1 4 -9 8 -3 -3 7 8 -1	1 0 -1 0 1 -2 1 0 -1 -1 0 1 0 0 -1 0 1
51834	130728	0x1fea8	14	12	2	15	3	-2 2 0 1 0 1 -1 0 1 2 0 -1 -1 -1 -1 0 -1	0 0 4 -1 -1 0 1 -1 1 2 1 2 1 -2 -1 1 -1	-6 10 2 4 1 -5 -8 3 5 3 -6 2 1 -6 -5 4 0	2 -2 0 1 0 -3 2 1 -2 -1 -1 1 1 -1 -1 1 1
51835	127042	0x1f042	14	12	2	15	3	-2 2 0 1 1 -1 -1 -1 0 2 -1 -1 0 0 0 1 -1	-7 -2 2 -2 2 3 6 -4 0 -1 0 1 2 -2 -4 4 -5	-4 3 1 5 1 -2 3 -3 -3 0 -4 -4 4 0 -4 -2 0	2 -1 -2 0 0 -2 1 0 -2 -2 -2 2 1 -1 -1 1 1
51836	86367	0x1515f	14	12	2	15	4	-2 2 0 1 1 0 -2 -1 1 1 0 -1 0 -1 1 1 0	1 -1 -3 -1 2 2 2 2 0 -3 -2 -2 1 1 0 0 0	-10 5 2 15 4 -5 3 -3 -1 -1 -7 -8 8 -3 -11 -4 1	-1 -5 1 3 1 -4 3 2 -3 0 -2 2 1 -2 1 0 1
51837	94609	0x17191	14	12	2	15	3	-2 2 0 1 1 0 -1 -1 -1 2 -1 0 -1 0 0 1 -1	0 0 3 0 -1 -1 0 -1 0 2 1 1 -1 0 -1 0 -1	-15 -11 2 12 6 -7 3 -6 2 3 2 -8 11 -4 -9 2 1	3 -2 -2 0 -1 -2 2 1 -3 -2 -2 2 1 -1 -1 2 1
51838	129107	0x1f853	14	12	2	15	5	-2 2 0 1 1 0 -1 -1 0 2 -1 -1 0 -1 0 1 -1	-7 -2 2 -2 1 4 6 -5 0 0 1 2 2 -2 -5 4 -5	-7 12 1 11 5 -5 -2 2 0 -1 -6 -3 2 -3 -9 -3 0	3 -1 -2 0 -1 -2 1 0 -2 -2 -2 1 1 -1 -1 1 1
51839	102465	0x19041	14	12	2	15	5	-2 2 0 1 1 0 -1 -1 0 2 -1 -1 0 0 -1 1 -1	-3 -1 4 0 0 0 3 -3 0 1 1 2 0 -1 -2 2 -3	1 22 1 3 1 -2 -6 6 0 -1 -8 3 -5 -1 -4 -3 -1	3 0 -2 0 0 -2 1 0 -2 -2 -2 2 1 0 -2 1 1
51840	109571	0x1ac03	14	12	2	15	4	-2 2 0 1 1 0 -1 -1 0 2 0 -1 -1 -1 0 1 -1	-3 -1 3 -3 1 2 3 -2 0 1 1 1 2 -2 -3 3 -3	-13 -11 3 6 0 -6 -1 -6 4 6 -2 -4 11 -7 -5 8 1	3 -1 -2 0 0 -2 2 0 -2 -2 -1 1 0 -1 0 1 1
