priority_rank	orbit_mask	orbit_hex	short_orbit_mask	coefficient_l1	support_count	maximum_absolute_coefficient	minimal_unoriented_count	section_basis_w	short_basis_w
19162	23865	0x05d39	68594	9	9	1	3	-1 0 0 -1 -1 1 0 0 -1 0 1 1 -1 0 1 0 0	2 1 0 2 1 -1 -1 1 -1 -3 2 1 -2 -2 0 0 -1
19163	22329	0x05739	73707	9	9	1	5	-1 0 0 -1 -1 1 0 0 -1 1 1 0 -1 0 1 0 0	1 1 0 1 0 -1 -1 1 -1 -3 1 1 -1 -2 0 0 -1
19164	22969	0x059b9	10624	9	9	1	4	-1 0 0 -1 -1 1 0 1 -1 0 0 1 -1 0 1 0 0	2 0 0 2 2 0 0 1 -1 -2 2 1 -2 -1 0 0 0
19165	21433	0x053b9	15769	9	9	1	4	-1 0 0 -1 -1 1 0 1 -1 1 0 0 -1 0 1 0 0	1 0 0 1 1 0 0 1 -1 -2 1 1 -1 -1 0 0 0
19166	17401	0x043f9	15580	9	9	1	3	-1 0 0 -1 -1 1 1 -1 -1 1 0 0 0 0 1 0 0	0 0 -1 3 1 0 -1 1 -2 -2 1 1 -1 -1 0 0 0
19167	86393	0x15179	47615	9	9	1	3	-1 0 0 -1 -1 1 1 0 -1 0 0 0 -1 0 1 0 1	-1 1 1 1 1 1 1 1 -1 0 0 -1 1 1 0 -1 0
19168	72057	0x11979	48993	9	9	1	3	-1 0 0 -1 -1 1 1 0 -1 0 0 1 -1 0 0 0 1	-1 0 0 0 0 1 1 0 -1 1 -1 -1 1 1 0 -1 0
19169	21881	0x05579	78570	9	9	1	4	-1 0 0 -1 -1 1 1 0 -1 0 1 0 -1 0 1 0 0	2 1 0 -1 0 -1 -1 -1 0 -1 0 0 -1 -1 0 0 -1
19170	7545	0x01d79	78964	9	9	1	5	-1 0 0 -1 -1 1 1 0 -1 0 1 1 -1 0 0 0 0	2 2 1 0 1 -1 -1 0 0 -2 1 0 -1 -1 0 0 -1
19171	70521	0x11379	43896	9	9	1	4	-1 0 0 -1 -1 1 1 0 -1 1 0 0 -1 0 0 0 1	0 0 0 1 1 1 1 0 -1 1 0 -1 0 1 0 -1 0
19172	37753	0x09379	60516	9	9	1	5	-1 0 0 -1 -1 1 1 0 -1 1 0 0 -1 0 0 1 0	2 0 1 -2 -2 -1 1 -2 0 2 -1 -1 0 1 1 -1 0
19173	61561	0x0f079	46835	9	9	1	4	-1 0 0 -1 -1 1 1 0 0 0 0 0 -1 -1 1 1 0	1 1 2 -2 -1 -1 1 -1 0 1 -1 -2 1 1 0 -1 0
19174	30841	0x07879	25053	9	9	1	4	-1 0 0 -1 -1 1 1 0 0 0 0 1 -1 -1 1 0 0	-1 0 1 -3 -1 0 1 -1 1 2 -2 -2 2 1 -1 0 0
19175	29817	0x07479	97018	9	9	1	6	-1 0 0 -1 -1 1 1 0 0 0 1 0 -1 -1 1 0 0	2 1 0 -1 -1 -1 -1 -1 0 -1 0 1 -1 -1 1 0 -1
19176	29305	0x07279	30148	9	9	1	4	-1 0 0 -1 -1 1 1 0 0 1 0 0 -1 -1 1 0 0	0 0 1 -2 0 0 1 -1 1 2 -1 -2 1 1 -1 0 0
19177	20985	0x051f9	4248	9	9	1	4	-1 0 0 -1 -1 1 1 1 -1 0 0 0 -1 0 1 0 0	2 0 0 -1 1 0 0 -1 0 0 0 0 -1 0 0 0 0
19178	5113	0x013f9	543	9	9	1	3	-1 0 0 -1 -1 1 1 1 -1 1 0 0 -1 0 0 0 0	1 1 1 -1 1 0 0 0 0 -1 0 0 0 0 0 0 0
19179	28921	0x070f9	22664	9	9	1	4	-1 0 0 -1 -1 1 1 1 0 0 0 0 -1 -1 1 0 0	-2 0 0 1 0 0 0 1 0 0 0 -1 1 0 -1 0 0
19180	14585	0x038f9	24086	9	9	1	5	-1 0 0 -1 -1 1 1 1 0 0 0 1 -1 -1 0 0 0	-2 -1 -1 0 -1 0 0 0 0 1 -1 -1 1 0 -1 0 0
19181	78761	0x133a9	52669	9	9	1	5	-1 0 0 -1 0 -1 0 -1 -1 1 0 0 1 1 0 0 1	3 0 1 -3 -1 -1 0 -3 1 2 -1 -1 0 2 1 -1 0
19182	127145	0x1f0a9	8068	9	9	1	6	-1 0 0 -1 0 -1 0 -1 0 0 0 0 1 1 1 -1 1	0 0 -1 2 0 0 0 1 -1 -1 1 1 -1 -2 0 0 0
19183	111785	0x1b4a9	66109	9	9	1	4	-1 0 0 -1 0 -1 0 -1 0 0 1 0 1 1 0 -1 1	1 2 1 -1 -1 -1 0 0 0 -1 0 0 0 -2 0 0 -1
19184	62633	0x0f4a9	103569	9	9	1	2	-1 0 0 -1 0 -1 0 -1 0 0 1 0 1 1 1 -1 0	1 2 0 2 1 0 0 1 -2 -2 1 0 -1 -2 0 -1 -1
19185	60073	0x0eaa9	41970	9	9	1	4	-1 0 0 -1 0 -1 0 -1 0 1 0 -1 0 1 1 -1 0	0 1 0 2 1 1 1 1 -1 -1 0 0 0 -1 0 -1 0
19186	80553	0x13aa9	55853	9	9	1	4	-1 0 0 -1 0 -1 0 -1 0 1 0 -1 1 1 0 0 1	3 0 1 -1 0 -1 0 -2 0 1 0 -1 -1 2 1 -1 0
19187	31401	0x07aa9	19585	9	9	1	5	-1 0 0 -1 0 -1 0 -1 0 1 0 -1 1 1 1 0 0	-3 0 -2 4 2 2 0 3 -2 -2 1 1 0 -2 -1 0 0
19188	111273	0x1b2a9	3331	9	9	1	3	-1 0 0 -1 0 -1 0 -1 0 1 0 0 1 1 0 -1 1	-1 1 0 2 0 0 0 2 -1 -2 1 1 0 -2 0 0 0
19189	23977	0x05da9	68527	9	9	1	5	-1 0 0 -1 0 -1 0 -1 1 0 1 -1 1 0 1 0 0	-1 1 -1 1 0 1 0 1 -1 -1 0 1 0 -2 0 0 -1
19190	127273	0x1f129	12609	9	9	1	4	-1 0 0 -1 0 -1 0 0 -1 0 0 0 1 1 1 -1 1	1 0 0 0 0 0 1 0 -1 0 0 0 -1 -1 0 0 0
19191	125225	0x1e929	2332	9	9	1	4	-1 0 0 -1 0 -1 0 0 -1 0 0 1 0 1 1 -1 1	0 0 -1 3 1 0 0 2 -1 -2 2 1 -2 -2 0 0 0
19192	124201	0x1e529	70203	9	9	1	4	-1 0 0 -1 0 -1 0 0 -1 0 1 0 0 1 1 -1 1	1 1 0 -1 -1 -1 0 0 0 -1 0 0 -1 -2 0 0 -1
19193	109865	0x1ad29	70821	9	9	1	3	-1 0 0 -1 0 -1 0 0 -1 0 1 1 0 1 0 -1 1	1 2 1 0 0 -1 0 1 0 -2 1 0 -1 -2 0 0 -1
19194	60201	0x0eb29	36151	9	9	1	2	-1 0 0 -1 0 -1 0 0 -1 1 0 -1 0 1 1 -1 0	1 1 1 0 1 1 2 0 -1 0 -1 -1 0 0 0 -1 0
