index,shell_norm,branch_ascending,constant_representative,monic_branch_ascending,extension_representative_index,value_at_control,homogeneous_value_at_3_17,small_witness
148,14,"[""19916754398298220167331821536594184385941381797180592929772937647/218005209472966787995140810683027200"",""10580245122238314497055656048296176228137356165050818993155827/444908590761156710194164919761280"",""194724735786372594977935419364325033510214799854080262455107953/61041458652430700638639426991247616""]",194724735786372594977935419364325033510214799854080262455107953/61041458652430700638639426991247616,"[""3067370872018947081/107105263285220425"",""3713650858807806/498164015280095"",""1""]",148,9123315201674390481693827065401266923202266742996506773887500209/95377279144422969747874104673824400,2636638093283898849209516021900966140805455088725990457653487560401/95377279144422969747874104673824400,"{""place"":""11"",""prime"":11,""valuation"":2,""unit_modulus"":11,""unit_residue"":8,""unit_is_square"":false,""is_square"":false}"
149,14,"[""3856105366635189766169654189141443276742560375483009275/103749285536823171633083396096"",""-1608601024880665679505854526054188407752751243186811175/51874642768411585816541698048"",""94132369548861706166108953679532879797720484874736424225/1141242140905054887963917357056""]",94132369548861706166108953679532879797720484874736424225/1141242140905054887963917357056,"[""45108488104848729/100104980363580721"",""-37634635621792506/100104980363580721"",""1""]",149,2825224984139229182435685618040911175361374225669378041225/82454744680390215655393029047296,2825224984139229182435685618040911175361374225669378041225/285310535226263721990979339264,"{""place"":""3"",""prime"":3,""valuation"":6,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
150,14,"[""40749203675365578438337440254776691404824521314684143942899307258522921/1722520031600239873281047591437439775899142400"",""-432280100668083639205224390271238233962756904770711050298358535879569299/4306300079000599683202618978593599439747856000"",""9902998573636612176008355579768321348158099141331645903293677059948756801/43063000790005996832026189785935994397478560000""]",9902998573636612176008355579768321348158099141331645903293677059948756801/43063000790005996832026189785935994397478560000,"[""82850484624477025/805383327338297761"",""-351561381362843390/805383327338297761"",""1""]",150,10192320773532697362899922938771561763267127333594694841557983448986660809/777825451769483317778473053008468898804456490000,10192320773532697362899922938771561763267127333594694841557983448986660809/2691437549375374802001636861620999649842410000,"{""place"":""37"",""prime"":37,""valuation"":0,""unit_modulus"":37,""unit_residue"":29,""unit_is_square"":false,""is_square"":false}"
152,14,"[""661725144503064613497479949590924527154050726515353222025/22606179730220181351955195826176"",""4411357695805319793563805962999296642368988598144578219875/11303089865110090675977597913088"",""6756800304497505005927133143202339159721801952564793132225/22606179730220181351955195826176""]",6756800304497505005927133143202339159721801952564793132225/22606179730220181351955195826176,"[""16362856048639681/167079264933970489"",""218164328664669590/167079264933970489"",""1""]",152,175502063618501459324406027986631624576663428636691799445625/1633296485508408102678762898441216,175502063618501459324406027986631624576663428636691799445625/5651544932555045337988798956544,"{""place"":""5"",""prime"":5,""valuation"":4,""unit_modulus"":5,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
153,14,"[""43785499302620345546961353081748247790688264921789705933849739053107025/865555635935637171976402900186483705404961"",""8621990606550376537905911331302465800338013032390597861591666942058800/865555635935637171976402900186483705404961"",""2718363925984957290701270112615260363355387706397212485079848231302400/865555635935637171976402900186483705404961""]",2718363925984957290701270112615260363355387706397212485079848231302400/865555635935637171976402900186483705404961,"[""530023348083045977768169/32905787813466727247104"",""283611881713455639261/89417901667029150128"",""1""]",153,13118196094725213682121343949535206710596345716406720418189468234474650625/250145578785399142701180438153893790862033729,13118196094725213682121343949535206710596345716406720418189468234474650625/865555635935637171976402900186483705404961,"{""place"":""17"",""prime"":17,""valuation"":-2,""unit_modulus"":17,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
154,14,"[""572029746230905747085009923097847815066806541001967417119843225/4626283605087199041937578050475790336"",""-837099026990376278036722566682760600055205111795389208914416925/2313141802543599520968789025237895168"",""2797355523163886391158856687409660562876839162212249118973087025/4626283605087199041937578050475790336""]",2797355523163886391158856687409660562876839162212249118973087025/4626283605087199041937578050475790336,"[""498711958456761/2438814870466129"",""-1459613937643386/2438814870466129"",""1""]",154,26277173904047089517062969040080845603641930351587281577280487225/334248990467550130779990014146875851776,26277173904047089517062969040080845603641930351587281577280487225/1156570901271799760484394512618947584,"{""place"":""13"",""prime"":13,""valuation"":3,""unit_modulus"":13,""unit_residue"":3,""unit_is_square"":true,""is_square"":false}"
155,14,"[""1704584338536870363031118328205906680734936080205936839879286025/14229531579485039026111022508601839616"",""-389387038393839492965509329403004424823463665820168587047191325/7114765789742519513055511254300919808"",""9087240507381548498473590386668759666531290878996255430492225/14229531579485039026111022508601839616""]",9087240507381548498473590386668759666531290878996255430492225/14229531579485039026111022508601839616,"[""32227347676075705449/171805907532201121"",""-14723720244487357434/171805907532201121"",""1""]",155,113247295271387585142499376891470149559350503720942379286293644025/1028083656617794069636521376246482912256,113247295271387585142499376891470149559350503720942379286293644025/3557382894871259756527755627150459904,"{""place"":""11"",""prime"":11,""valuation"":2,""unit_modulus"":11,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
156,14,"[""640009490447943570167532424965330221786299867932932724010890000/2759925494686340234856980224557933121"",""-171301745757790390528582656835610545798928202573867926870400000/2759925494686340234856980224557933121"",""-9898400816041664603848426685899237809600062405100490131840000/2759925494686340234856980224557933121""]",-9898400816041664603848426685899237809600062405100490131840000/2759925494686340234856980224557933121,"[""-2948066723506297329049/45594864603142186944"",""4109712628323857045/237473253141365557"",""1""]",156,609471515911640162214617714450488592111449560344997884282250000/2759925494686340234856980224557933121,176137268098464006880024519476191203120208922939704388557570250000/2759925494686340234856980224557933121,"{""place"":""43"",""prime"":43,""valuation"":0,""unit_modulus"":43,""unit_residue"":22,""unit_is_square"":false,""is_square"":false}"
159,14,"[""944474020161348888334485482558310606417915076486176492925883544472600576/1807597237071612138670245590288948340423324225"",""103859541048876672325822971113825317636390960573013362103886282354012160/216911668448593456640429470834673800850798907"",""172320996967251071436002012502187026650902410946021434588417303915704320/650735005345780369921288412504021402552396721""]",172320996967251071436002012502187026650902410946021434588417303915704320/650735005345780369921288412504021402552396721,"[""158884702092528247476/80524449714208358875"",""1164788858614195869/644195597713666871"",""1""]",159,321401321696583691253041117495282200916516175621686221214442446950929342464/522395601513695908075700975593506070382340701025,321401321696583691253041117495282200916516175621686221214442446950929342464/1807597237071612138670245590288948340423324225,"{""place"":""2"",""prime"":2,""valuation"":13,""unit_modulus"":8,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
161,14,"[""23201732877016775611065528352970572188940024691959008099895225/583919214600869180244844894240116736"",""-25859790934560738443752872638938005800284009928474245439492525/291959607300434590122422447120058368"",""87331743521594487248995385492727155519080612691694899711093425/583919214600869180244844894240116736""]",87331743521594487248995385492727155519080612691694899711093425/583919214600869180244844894240116736,"[""1364510380453609/5136041829719137"",""-3041665323327802/5136041829719137"",""1""]",161,1213396954456750803894025788567840792661605909374258600860330825/42188163254912798272690043608848434176,1213396954456750803894025788567840792661605909374258600860330825/145979803650217295061211223560029184,"{""place"":""5"",""prime"":5,""valuation"":2,""unit_modulus"":5,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
162,14,"[""58276167380682489778572278905697502102872234227405496280064739405625/42079989300876982031036779954966631246073856"",""616397510647716582548170538649867096546195277025809784155998326095875/21039994650438491015518389977483315623036928"",""680898220015458984790478755618031140502757475338353793513245583462225/42079989300876982031036779954966631246073856""]",680898220015458984790478755618031140502757475338353793513245583462225/42079989300876982031036779954966631246073856,"[""231559648684225/2705540870362009"",""4898496158233270/2705540870362009"",""1""]",162,21460610609805865457258773086648825554991702806599492637617437300291225/3040279226988361951742407351746339107528836096,21460610609805865457258773086648825554991702806599492637617437300291225/10519997325219245507759194988741657811518464,"{""place"":""7"",""prime"":7,""valuation"":1,""unit_modulus"":7,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
163,14,"[""13732716266845137373765223369040352245557755983866672058468928051521/4221346005042157607126219079526848160000"",""-778807883639345813256325292891110041909888082118972969023378874271/2110673002521078803563109539763424080000"",""-80986594019172992615625289609224375410342528539686087656669975679/4221346005042157607126219079526848160000""]",-80986594019172992615625289609224375410342528539686087656669975679/4221346005042157607126219079526848160000,"[""-21614175979449/127466297351"",""2451560248398/127466297351"",""1""]",163,243036732352553679445778984135705347207043113262779737954264095745801/76248062216073971778717332123953694890000,243036732352553679445778984135705347207043113262779737954264095745801/263834125315134850445388692470428010000,"{""place"":""3"",""prime"":3,""valuation"":5,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
165,14,"[""120618282306389211912889124775537793767842509070310772693225/497699109378535771402183253157154816"",""-608054127862809078985341429207860240061436927260784280010125/248849554689267885701091626578577408"",""2247473681650975861730451444767896638335801300161034973330625/497699109378535771402183253157154816""]",2247473681650975861730451444767896638335801300161034973330625/497699109378535771402183253157154816,"[""204162642105529/3804151046878225"",""-411685309768562/760830209375645"",""1""]",165,-1733893580150315264526451429040063085584467439457717123178775/35958760652599209483807740040604435456,-1733893580150315264526451429040063085584467439457717123178775/124424777344633942850545813289288704,"{""place"":""real"",""sign"":-1}"
167,14,"[""59399062835816168550940946649475418326462483239684718145618025/7751596505607086341786907120432582656"",""529438618431332397242603261482775183342321206008389963033747475/3875798252803543170893453560216291328"",""818008574918374600544040715671276537174667166929567500200417025/7751596505607086341786907120432582656""]",818008574918374600544040715671276537174667166929567500200417025/7751596505607086341786907120432582656,"[""3188909305747556689/43915762845430076329"",""56847083321987477782/43915762845430076329"",""1""]",167,19632786353453037158715958173495738357959106292872691818832401225/560052847530111988194104039451254096896,19632786353453037158715958173495738357959106292872691818832401225/1937899126401771585446726780108145664,"{""place"":""29"",""prime"":29,""valuation"":3,""unit_modulus"":29,""unit_residue"":11,""unit_is_square"":false,""is_square"":false}"
168,14,"[""187456348596863074589669928758880335530752056901476468889/344136553798522799707219225"",""777347913151648187614017834727112419049712042378916152/1966494593134415998326967"",""14055033440846813745573906354010385779528536030608848/280927799019202285475281""]",14055033440846813745573906354010385779528536030608848/280927799019202285475281,"[""16409765568681/1507197605200"",""207464511/26257798"",""1""]",168,211998863713000777690016162296916469936419814991335601089/344136553798522799707219225,61267671613057224752414670903808859811625326532495988714721/344136553798522799707219225,"{""place"":""17"",""prime"":17,""valuation"":0,""unit_modulus"":17,""unit_residue"":14,""unit_is_square"":false,""is_square"":false}"
