mask	hex	bit_vector	representative_norm	half_representative_norm
42684	0x0a6bc	00111101011001010	54	27/2
42685	0x0a6bd	10111101011001010	74	37/2
42689	0x0a6c1	10000011011001010	50	25/2
42693	0x0a6c5	10100011011001010	66	33/2
42695	0x0a6c7	11100011011001010	86	43/2
42701	0x0a6cd	10110011011001010	90	45/2
42702	0x0a6ce	01110011011001010	86	43/2
42711	0x0a6d7	11101011011001010	110	55/2
42713	0x0a6d9	10011011011001010	94	47/2
42726	0x0a6e6	01100111011001010	50	25/2
42727	0x0a6e7	11100111011001010	70	35/2
42729	0x0a6e9	10010111011001010	58	29/2
42730	0x0a6ea	01010111011001010	54	27/2
42736	0x0a6f0	00001111011001010	38	19/2
42737	0x0a6f1	10001111011001010	54	27/2
42741	0x0a6f5	10101111011001010	70	35/2
42743	0x0a6f7	11101111011001010	90	45/2
42749	0x0a6fd	10111111011001010	94	47/2
42750	0x0a6fe	01111111011001010	90	45/2
42756	0x0a704	00100000111001010	38	19/2
42759	0x0a707	11100000111001010	70	35/2
42764	0x0a70c	00110000111001010	54	27/2
42769	0x0a711	10001000111001010	54	27/2
42770	0x0a712	01001000111001010	46	23/2
42772	0x0a714	00101000111001010	54	27/2
42773	0x0a715	10101000111001010	74	37/2
42774	0x0a716	01101000111001010	66	33/2
42775	0x0a717	11101000111001010	90	45/2
42776	0x0a718	00011000111001010	54	27/2
42780	0x0a71c	00111000111001010	74	37/2
42793	0x0a729	10010100111001010	46	23/2
42795	0x0a72b	11010100111001010	58	29/2
42799	0x0a72f	11110100111001010	74	37/2
42801	0x0a731	10001100111001010	42	21/2
42805	0x0a735	10101100111001010	58	29/2
42806	0x0a736	01101100111001010	50	25/2
42813	0x0a73d	10111100111001010	78	39/2
42815	0x0a73f	11111100111001010	94	47/2
42816	0x0a740	00000010111001010	34	17/2
42820	0x0a744	00100010111001010	50	25/2
42821	0x0a745	10100010111001010	70	35/2
42825	0x0a749	10010010111001010	74	37/2
42828	0x0a74c	00110010111001010	70	35/2
42829	0x0a74d	10110010111001010	94	47/2
42830	0x0a74e	01110010111001010	86	43/2
42831	0x0a74f	11110010111001010	114	57/2
42832	0x0a750	00001010111001010	50	25/2
42833	0x0a751	10001010111001010	70	35/2
42836	0x0a754	00101010111001010	70	35/2
42853	0x0a765	10100110111001010	54	27/2
42855	0x0a767	11100110111001010	70	35/2
42856	0x0a768	00010110111001010	38	19/2
42857	0x0a769	10010110111001010	58	29/2
42858	0x0a76a	01010110111001010	50	25/2
42861	0x0a76d	10110110111001010	74	37/2
42867	0x0a773	11001110111001010	70	35/2
42870	0x0a776	01101110111001010	66	33/2
42871	0x0a777	11101110111001010	90	45/2
42881	0x0a781	10000001111001010	54	27/2
42882	0x0a782	01000001111001010	46	23/2
42888	0x0a788	00010001111001010	54	27/2
42890	0x0a78a	01010001111001010	66	33/2
42895	0x0a78f	11110001111001010	114	57/2
42901	0x0a795	10101001111001010	94	47/2
42902	0x0a796	01101001111001010	86	43/2
42905	0x0a799	10011001111001010	98	49/2
42909	0x0a79d	10111001111001010	122	61/2
42911	0x0a79f	11111001111001010	142	71/2
42921	0x0a7a9	10010101111001010	62	31/2
42925	0x0a7ad	10110101111001010	78	39/2
42927	0x0a7af	11110101111001010	94	47/2
