rank	mask	hex	multiplicity	witness
27763	115452	0x1c2fc	20	2 0 1 1 3 -3 -5 1 -2 1 0 -4 0 2 -3 -1 -3
27764	115454	0x1c2fe	20	2 -1 1 1 3 -3 -5 1 -2 1 0 -4 0 2 -3 -1 -3
27765	115458	0x1c302	20	2 -1 0 0 2 2 0 -2 -1 -1 2 0 0 -2 -1 1 -1
27766	115467	0x1c30b	20	1 -1 0 1 2 2 0 -2 -1 -1 2 0 0 -2 -1 1 -1
27767	115468	0x1c30c	20	0 0 1 1 0 -2 -2 2 -1 -1 -2 -2 0 2 1 -1 -1
27768	115478	0x1c316	20	0 1 -1 0 1 -2 -2 0 1 1 0 -2 0 2 -1 -1 -1
27769	115501	0x1c32d	20	1 0 1 1 2 -1 -4 0 -3 1 2 -2 -2 0 -3 1 -1
27770	115503	0x1c32f	20	1 1 3 3 4 -7 -12 4 -3 3 -2 -8 -2 6 -5 -1 -5
27771	115524	0x1c344	20	0 2 1 2 2 -4 -7 2 -1 3 0 -4 -2 4 -3 -1 -3
27772	115549	0x1c35d	20	1 0 1 1 1 0 -3 0 -1 1 2 -2 -2 0 -3 1 -1
27773	115551	0x1c35f	20	1 1 1 1 3 -4 -7 2 -1 3 0 -4 -2 4 -3 -1 -3
27774	115552	0x1c360	20	2 0 0 0 2 -1 -3 0 -1 -1 0 -2 0 0 -1 -1 -1
