priority	mask	hex	multiplicity	witness_index	representative
59	15342	0x03bee	28	1	0 1 1 1 2 -3 -5 1 -1 1 0 -3 -1 3 -2 -2 -2
59	15342	0x03bee	28	2	0 1 1 1 2 -3 -5 1 -1 1 0 -3 -1 1 -2 0 -2
59	15342	0x03bee	28	3	0 1 1 3 2 -1 -5 1 -1 1 0 -3 -1 1 -2 0 -2
59	15342	0x03bee	28	4	2 -1 1 1 2 -1 -3 1 -1 1 0 -3 -1 1 -2 0 -2
60	18550	0x04876	28	1	2 -1 1 0 1 -1 -1 0 -2 0 0 -1 0 0 -1 0 -2
60	18550	0x04876	28	2	0 1 1 2 3 -1 -5 0 -2 0 0 -3 0 2 -1 0 -2
60	18550	0x04876	28	3	0 1 1 2 1 -3 -5 2 -2 2 0 -3 -2 2 -1 0 0
60	18550	0x04876	28	4	0 1 1 2 1 -3 -5 2 -2 2 0 -3 -2 2 -3 0 -2
61	30278	0x07646	28	1	2 -1 1 0 2 -2 -3 0 -2 1 1 -2 -1 1 -3 0 -2
61	30278	0x07646	28	2	2 -1 1 0 2 -2 -3 0 -2 -1 -1 -2 1 1 -1 -2 -2
61	30278	0x07646	28	3	0 1 1 0 0 -2 -3 2 0 1 -1 -2 -1 1 -1 0 0
61	30278	0x07646	28	4	0 1 1 2 0 -2 -3 2 -2 1 -1 -2 -1 1 -1 0 0
62	30558	0x0775e	28	1	0 1 1 1 3 -2 -5 0 -1 1 1 -4 -1 1 -3 0 -2
62	30558	0x0775e	28	2	2 -1 1 1 3 -2 -5 0 -3 1 1 -2 -1 1 -3 0 -2
62	30558	0x0775e	28	3	0 1 1 1 1 -2 -3 2 -1 1 -1 -2 -1 1 -1 0 0
