trial	slot	rank_before	candidate_norm	orthogonal_height	orthogonal_ratio	new_block_dim	new_block_norm	new_block_projection_share	previous_coefficient	previous_abs_coefficient	previous_coeff_num	previous_coeff_den	previous_coeff_rational	previous_coeff_rational_error	previous_residual_corr	previous_energy_share	last_increment_corr	new_block_max_energy_share	new_block_last_energy_share	alpha_l2	alpha_max_abs	alpha_coefficients	alpha_rationals
116	1	17	65.76753453360375	0.5297775291453206	0.008055304686457909	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
116	2	18	65.93612716784229	0.5670387604762936	0.008599819019289386	1	4.136258069928608	0.06327544364933382	2.7941971606705724	2.7941971606705724	14	5	2.8	0.005802839329427378	1.0	1.0	1.0	1.0	1.0	2.7941971606705724	2.7941971606705724	2.79419716067057	14/5:0.00580284
116	3	19	65.6642832866086	0.6119220414417441	0.009318948000556916	2	17.46634309496252	0.26849668114484015	-4.90343524032677	4.90343524032677	-49	10	-4.9	0.003435240326769673	0.1325210010909044	0.7805696256930753	0.8834985148222239	0.7805696256930753	0.7805696256930753	17.10859065713147	16.390857119663014	16.390857119663 -4.90343524032677	82/5:0.00914288 -49/10:0.00343524
116	4	20	63.98494055630254	1.4050705137131487	0.02195939390577036	3	15.768016565628109	0.25196627213985934	4.898629536954393	4.898629536954393	49	10	4.9	0.0013704630456077282	0.3863616652799138	0.9312541536853447	0.9650151054182233	0.9312541536853447	0.9312541536853447	80.09032027716395	76.6642413418681	-76.6642413418681 22.6507600365679 4.89862953695439	-230/3:0.00242532 249/11:0.0143964 49/10:0.00137046
117	1	17	64.8944618644385	0.11019385457034048	0.0016980471276659987	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
117	2	18	66.06828736386007	0.6165301369898799	0.009331710592018877	1	22.92100283815281	0.350196905465862	-14.422419381380724	14.422419381380724	-173	12	-14.416666666666666	0.005752714714057916	1.0	1.0	1.0	1.0	1.0	14.422419381380724	14.422419381380724	-14.4224193813807	-173/12:0.00575271
117	3	19	65.93308947947455	0.7810092699354101	0.011845482687089067	2	37.971471964822776	0.5828128870590266	7.11279201880526	7.11279201880526	64	9	7.111111111111111	0.001680907694149525	0.27030507208422766	0.8214423650862217	0.9063345767906141	0.8214423650862217	0.8214423650862217	110.65653438373936	110.42769938523989	110.42769938524 7.11279201880526	773/7:0.000872043 64/9:0.00168091
117	4	20	66.80051180173623	1.5333360741402373	0.022953956980017988	3	40.16151305753431	0.6153401401212062	7.129633195673077	7.129633195673077	57	8	7.125	0.004633195673076962	0.08042216889058085	0.9885087008846289	0.9942377486721317	0.9885087008846289	0.9885087008846289	793.1373605125115	791.4728346044113	-791.472834604411 -50.860525503645 7.12963319567308	-8706/11:0.0182891 -356/7:0.00338265 57/8:0.0046332
118	1	17	62.68126733885409	0.05689986848971529	0.0009077651251388291	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
118	2	18	64.98809546040113	0.3297679331490144	0.005074282156028872	1	3.0148823489968137	0.04662790493190695	7.279131301104643	7.279131301104643	80	11	7.2727272727272725	0.00640402837737053	1.0	1.0	1.0	1.0	1.0	7.279131301104643	7.279131301104643	7.27913130110464	80/11:0.00640403
