any_second_direction_given_seed,arm,censored_or_stopped,certified_endpoints,classes,cohort,cpu_seconds,deep,family,gain_after_seed_phase,known_equations,later_acquiring_call_given_seed_and_exposure,previous_equations,ranks,rows,seed,trajectories_unknown
"[4, 4]",,0,4,"{""deep amplifier"": 3, ""seed only"": 1}",extended20_mw16,,"[3, 4]",a1-fibration-04,0,1,"[3, 4]",2,"{""24"": 2, ""25"": 1, ""26"": 1}",4,"[4, 4]",0
"[4, 4]",,0,4,"{""amplifier"": 1, ""deep amplifier"": 1, ""seed only"": 2}",extended20_mw16,,"[1, 4]",a1-fibration-05,0,1,"[2, 4]",4,"{""22"": 1, ""24"": 3}",4,"[4, 4]",0
"[16, 24]",,0,60,"{""amplifier"": 14, ""deep amplifier"": 2, ""no seed"": 36, ""seed only"": 8}",fresh60_mw16,,"[2, 60]",ALL,0,0,"[16, 24]",0,"{""16"": 36, ""17"": 8, ""18"": 7, ""19"": 3, ""20"": 1, ""21"": 1, ""23"": 1, ""24"": 2, ""26"": 1}",60,"[24, 60]",0
"[5, 7]",,0,12,"{""amplifier"": 4, ""deep amplifier"": 1, ""no seed"": 5, ""seed only"": 2}",fresh60_mw16,,"[1, 12]",a1-fibration-01,0,0,"[5, 7]",0,"{""16"": 5, ""17"": 2, ""18"": 2, ""19"": 1, ""20"": 1, ""26"": 1}",12,"[7, 12]",0
"[3, 3]",,0,12,"{""amplifier"": 3, ""no seed"": 9}",fresh60_mw16,,"[0, 12]",a1-fibration-02,0,0,"[3, 3]",0,"{""16"": 9, ""18"": 2, ""19"": 1}",12,"[3, 12]",0
"[0, 1]",,0,12,"{""no seed"": 11, ""seed only"": 1}",fresh60_mw16,,"[0, 12]",a1-fibration-03,0,0,"[0, 1]",0,"{""16"": 11, ""17"": 1}",12,"[1, 12]",0
"[6, 8]",,0,12,"{""amplifier"": 5, ""deep amplifier"": 1, ""no seed"": 4, ""seed only"": 2}",fresh60_mw16,,"[1, 12]",a1-fibration-04,0,0,"[6, 8]",0,"{""16"": 4, ""17"": 2, ""18"": 2, ""21"": 1, ""23"": 1, ""24"": 2}",12,"[8, 12]",0
"[2, 5]",,0,12,"{""amplifier"": 2, ""no seed"": 7, ""seed only"": 3}",fresh60_mw16,,"[0, 12]",a1-fibration-05,0,0,"[2, 5]",0,"{""16"": 7, ""17"": 3, ""18"": 1, ""19"": 1}",12,"[5, 12]",0
"[14, 15]",,0,23,"{""amplifier"": 5, ""deep amplifier"": 7, ""no seed"": 8, ""seed only"": 3}",fresh_r17_paired,,"[7, 23]",ALL,0,4,"[12, 15]",1,"{""17"": 8, ""18"": 1, ""21"": 1, ""22"": 2, ""23"": 2, ""24"": 2, ""25"": 3, ""26"": 2, ""27"": 2}",23,"[15, 23]",0
"[3, 4]",,0,4,"{""deep amplifier"": 2, ""seed only"": 2}",fresh_r17_paired,,"[2, 4]",074d9,0,1,"[2, 4]",0,"{""18"": 1, ""22"": 1, ""26"": 1, ""27"": 1}",4,"[4, 4]",0
"[2, 2]",,0,3,"{""amplifier"": 1, ""deep amplifier"": 1, ""no seed"": 1}",fresh_r17_paired,,"[1, 3]",07ca9,0,1,"[2, 2]",0,"{""17"": 1, ""22"": 1, ""26"": 1}",3,"[2, 3]",0
"[2, 2]",,0,4,"{""amplifier"": 1, ""deep amplifier"": 1, ""no seed"": 2}",fresh_r17_paired,,"[1, 4]",08234,0,1,"[2, 2]",1,"{""17"": 2, ""23"": 1, ""25"": 1}",4,"[2, 4]",0
"[2, 2]",,0,4,"{""deep amplifier"": 1, ""no seed"": 2, ""seed only"": 1}",fresh_r17_paired,,"[1, 4]",08f72,0,1,"[1, 2]",0,"{""17"": 2, ""23"": 1, ""25"": 1}",4,"[2, 4]",0
"[3, 3]",,0,4,"{""amplifier"": 3, ""no seed"": 1}",fresh_r17_paired,,"[0, 4]",103b2,0,0,"[3, 3]",0,"{""17"": 1, ""21"": 1, ""24"": 2}",4,"[3, 4]",0
