attribution,batch_cpu_lower,batch_cpu_upper,batch_elapsed_lower,batch_elapsed_upper,call,deep_event,directions,id,point_search_cpu_sum,point_search_elapsed_sum,rank_after_call_attribution,rank_from_earlier_calls,timing_scope
ORIGINATING_CALL; may be certified by later reconciliation,0.0,319.61000725700006,0.0,416.5324662899948,9,False,1,broad-rank-v1:b-e374acf7da628c9b0226,,,21,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,319.61000725700006,0.0,416.5324662899948,10,False,1,broad-rank-v1:b-e374acf7da628c9b0226,,,22,21,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,205.88480459,0.0,215.5522410100093,1,False,5,broad-rank-v1:b-1b21405657690013f96e,,,22,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,124.69455555999998,0.0,135.38951339700725,10,False,1,broad-rank-v1:b-99ba2fb552a559cccc4e,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,237.22494039299997,0.0,261.5242687400023,81,False,1,broad-rank-v1:b-90b98c6d0b9f5bb7c384,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,237.22494039299997,0.0,261.5242687400023,142,False,1,broad-rank-v1:b-90b98c6d0b9f5bb7c384,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,237.22494039299997,0.0,261.5242687400023,179,False,1,broad-rank-v1:b-90b98c6d0b9f5bb7c384,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,237.22494039299997,378.032337216,261.5242687400023,410.8779050099838,270,False,1,broad-rank-v1:b-90b98c6d0b9f5bb7c384,,,21,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,129.02828656900002,0.0,143.33542487799423,15,False,1,broad-rank-v1:b-76bda6c24cb6067346e3,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,265.14044924,0.0,350.9249319630035,1,False,1,broad-rank-v1:b-ae4c3d5355e8b688f0c0,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,265.14044924,0.0,350.9249319630035,5,False,1,broad-rank-v1:b-ae4c3d5355e8b688f0c0,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,265.14044924,0.0,350.9249319630035,21,False,1,broad-rank-v1:b-ae4c3d5355e8b688f0c0,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,265.14044924,0.0,350.9249319630035,27,False,1,broad-rank-v1:b-ae4c3d5355e8b688f0c0,,,21,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,172.375800866,0.0,190.10406572000647,1,False,3,broad-rank-v1:b-ebd8873994a34ee3d90e,,,20,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,172.375800866,0.0,190.10406572000647,2,False,1,broad-rank-v1:b-ebd8873994a34ee3d90e,,,21,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,258.692306299,0.0,349.07941419500276,5,False,1,broad-rank-v1:b-83880d2875a792c4f0ca,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,258.692306299,0.0,349.07941419500276,16,False,2,broad-rank-v1:b-83880d2875a792c4f0ca,,,20,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,258.692306299,0.0,349.07941419500276,31,False,1,broad-rank-v1:b-83880d2875a792c4f0ca,,,21,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
