priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
56	50538	0x0c56a	2	3	1	3	20	0 0 0 -1 -1 0 0 1 0 0 0 0 0 0 0 0 0	-4 3 5 -3 -3 -4 2 -2 -6 -6 -6 5 1 -6 2 -5 -6	12 -31 -6 -17 -6 9 18 -11 -12 -4 11 -4 1 11 14 -3 0	0 1 -2 -1 -2 1 -1 0 1 0 -1 0 0 0 -1 1 0
57	24765	0x060bd	2	3	1	3	20	0 0 0 -1 0 -1 0 0 0 1 0 0 0 0 0 0 0	-4 3 5 -3 -4 -4 2 -2 -7 -7 -6 5 2 -7 3 -5 -6	17 -5 -3 -18 -9 10 8 -3 -9 -3 3 3 -7 9 14 -3 -1	-1 2 -1 -1 -1 1 -2 -1 2 0 0 0 0 1 -1 0 0
58	121774	0x1dbae	2	3	1	3	21	0 0 0 -1 0 -1 0 0 1 0 0 0 0 0 0 0 0	-3 3 5 -2 -3 -3 1 -2 -6 -7 -6 5 3 -6 2 -5 -6	2 -5 -3 1 2 2 9 -3 -7 -5 3 -5 0 5 0 -7 0	0 -1 -1 1 -2 -1 0 1 -1 -1 -2 1 1 0 -1 1 1
59	125060	0x1e884	2	3	1	3	18	0 0 0 -1 0 0 0 -1 0 0 0 1 0 0 0 0 0	-5 3 5 -3 -4 -3 1 -2 -5 -8 -5 5 2 -6 2 -5 -6	4 -30 -3 -15 -8 4 11 -11 -7 1 5 -2 5 4 11 5 0	2 -2 -3 0 -2 -2 2 1 -2 -2 -2 1 0 -1 -1 1 1
60	22167	0x05697	2	3	1	3	23	0 0 0 -1 0 0 0 0 -1 0 0 1 0 0 0 0 0	-5 3 5 -3 -3 -5 1 -2 -5 -7 -6 5 1 -5 2 -5 -6	15 -11 -3 -20 -11 9 7 -4 -8 -1 2 4 -5 7 15 1 -1	1 1 -3 -2 -1 0 0 -1 0 -1 -1 0 -1 0 -1 0 0
61	97562	0x17d1a	2	3	1	3	21	0 0 0 -1 0 0 0 0 -1 1 0 0 0 0 0 0 0	-5 3 5 -4 -4 -5 2 -2 -7 -7 -6 5 1 -7 3 -5 -6	21 -21 -3 -30 -15 13 9 -7 -8 1 8 6 -6 10 23 4 -1	0 3 -2 -3 -1 2 -2 -2 3 0 1 -1 -1 1 -1 0 -1
62	65821	0x1011d	2	3	1	3	21	0 0 0 -1 0 0 0 0 0 0 -1 0 0 0 0 1 0	-4 2 5 -2 -3 -3 0 -2 -6 -6 -6 3 4 -6 2 -3 -6	-1 -8 -1 -1 2 0 2 -1 0 0 6 -1 0 0 1 1 0	3 0 -3 -1 -3 0 0 0 -1 -2 -2 0 0 0 -2 2 1
63	115044	0x1c164	2	3	1	3	22	0 0 0 -1 0 0 0 0 0 0 0 0 -1 0 0 1 0	-3 3 3 -2 -1 -4 0 -1 -4 -4 -5 2 1 -3 1 -3 -4	-2 -1 -1 1 1 -1 1 0 -1 -1 0 -1 0 0 -1 -1 0	2 0 -3 0 -2 -1 1 0 -1 -2 -2 0 0 0 -1 1 1
64	130249	0x1fcc9	2	3	1	3	20	0 0 0 -1 0 0 0 0 0 0 0 0 -1 0 1 0 0	-3 3 3 -2 -1 -3 1 -1 -4 -4 -5 3 1 -4 1 -4 -4	2 -7 -4 1 2 2 11 -4 -9 -6 2 -6 1 6 0 -8 0	1 -2 -2 1 -2 -2 1 1 -2 -2 -3 1 1 -1 -1 1 1
65	64420	0x0fba4	2	3	1	3	20	0 0 0 -1 0 0 0 0 0 0 0 0 0 0 -1 1 0	-4 3 5 -3 -3 -5 0 -2 -6 -7 -6 4 2 -5 2 -4 -6	2 -15 0 -11 -5 2 0 -3 2 4 6 3 0 0 8 7 0	2 2 -3 -2 -2 1 0 -1 1 -1 0 -1 -1 1 -1 1 0
