rank	shell_id	eligible_id	ade	root_rank	mw_rank	root_count	root_det	d_f	d_o	mw_height	short_norm	section_p_o	fiber_twist	vertical_integral	support_fibres	support_components	vertical_l1	vertical_max	reflection_count	nearest_section_lifts	section_root_shift	section_nonzero_pairings	root_coefficients	reduced	v
131	7932	7930	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-5020,58,414,-7434,-1704,-2679,1886,-976,3014,-685,-3459,-1848,-4097,-2932,988,-704,-1263	27168,-293,-2240,40227,9212,14505,-10200,5282,-16307,3713,18714,9998,22157,15867,-5341,3810,6832
132	7939	7937	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-46678,514,3856,-69115,-15834,-24929,17529,-9082,28019,-6377,-32157,-17180,-38070,-27259,9172,-6547,-11734	-14490,163,1202,-21454,-4918,-7745,5443,-2824,8698,-1979,-9984,-5334,-11816,-8460,2843,-2033,-3639
133	7940	7938	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-40527,443,3345,-60007,-13748,-21641,15219,-7882,24326,-5538,-27919,-14915,-33055,-23669,7965,-5683,-10190	-8339,92,691,-12346,-2832,-4457,3133,-1624,5005,-1140,-5746,-3069,-6801,-4870,1636,-1169,-2095
134	7954	7952	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-25504,276,2105,-37763,-8651,-13619,9577,-4960,15308,-3486,-17568,-9386,-20801,-14896,5013,-3576,-6413	6684,-75,-549,9898,2265,3565,-2509,1298,-4013,912,4605,2460,5453,3903,-1316,938,1682
135	7955	7953	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-36170,395,2986,-53555,-12269,-19315,13582,-7035,21710,-4943,-24916,-13312,-29500,-21124,7108,-5072,-9094	-3982,44,332,-5894,-1353,-2131,1496,-777,2389,-545,-2743,-1466,-3246,-2325,779,-558,-999
136	7956	7954	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-21147,230,1746,-31311,-7175,-11293,7942,-4113,12693,-2890,-14568,-7782,-17248,-12351,4156,-2965,-5317	11041,-121,-908,16350,3741,5891,-4144,2145,-6628,1508,7605,4064,9006,6448,-2173,1549,2778
137	7958	7956	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-39550,434,3264,-58561,-13418,-21118,14853,-7691,23740,-5404,-27246,-14555,-32260,-23099,7774,-5546,-9945	-7362,83,610,-10900,-2502,-3934,2767,-1433,4419,-1006,-5073,-2709,-6006,-4300,1445,-1032,-1850
138	7992	7990	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-30466,336,2517,-45111,-10336,-16271,11442,-5928,18288,-4162,-20989,-11213,-24849,-17792,5987,-4273,-7659	1722,-15,-137,2550,580,913,-644,330,-1033,236,1184,633,1405,1007,-342,241,436
139	7994	7992	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-24315,265,2006,-36003,-8250,-12983,9132,-4728,14595,-3323,-16751,-8948,-19834,-14202,4780,-3409,-6115	7873,-86,-648,11658,2666,4201,-2954,1530,-4726,1075,5422,2898,6420,4597,-1549,1105,1980
140	7996	7994	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-41132,455,3398,-60903,-13954,-21967,15447,-8003,24690,-5619,-28337,-15139,-33548,-24020,8082,-5769,-10340	-8944,104,744,-13242,-3038,-4783,3361,-1745,5369,-1221,-6164,-3293,-7294,-5221,1753,-1255,-2245
