observation_id,family,parameter,native_parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,simultaneous_carrier_genus,simultaneous_carrier_degree,split_quartet_count
rank_jump_retrospective_report_v1.json:nagao-0004,published-R17,-7634/2859,-7634/2859,17,17,0,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:nagao-0005,published-R17,-841/8544,-841/8544,17,17,0,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:nagao-0006,published-R17,461/4420,461/4420,17,17,0,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:nagao-0007,published-R17,6695/1353,6695/1353,17,17,0,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:nagao-0008,published-R17,1217/151,1217/151,17,17,0,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:nagao-0009,published-R17,9783/7559,9783/7559,17,17,0,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:nagao-0010,published-R17,9446/3605,9446/3605,17,17,0,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:2,published-R17,-636/3209,-636/3209,17,18,1,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,97074835226379,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:5,published-R17,-1264/1047,-1264/1047,17,23,6,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,96061784854009,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:6,published-R17,444/2623,444/2623,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,96049044569160,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:7,published-R17,2291/2392,2291/2392,17,23,6,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,96043536665376,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
