orbit_mask	category	minimum_norm	reduced_basis_w	parent_MW17_w	lattice_class_at_minimum
78643	genus_one	8	1 1 -2 0 -1 1 0 2 1 -1 0 0 -1 1 0 0 1	1 -1 -2 1 1 -1 2 0 -1 0 1 -1 1 -1 0 0 1	2O+4F+phi(w)
78645	genus_one	8	1 0 -1 0 -1 1 0 0 1 -1 0 0 -1 -1 0 0 -1	1 0 0 0 1 1 0 0 -1 0 1 1 -1 -1 0 0 -1	2O+4F+phi(w)
78646	rational	10	0 1 -1 0 -1 1 0 0 -1 -1 2 -2 -1 1 2 0 -1	0 1 0 0 1 1 0 0 -1 0 -1 1 1 -3 0 2 -1	2O+4F+phi(w)
78647	genus_one	8	1 1 -3 2 -1 -1 0 2 3 -1 0 2 -1 1 -2 0 1	1 -1 0 0 -1 -1 0 0 1 0 1 -1 1 1 0 -2 1	2O+4F+phi(w)
78648	genus_one	8	0 0 -2 1 -1 1 0 0 1 -1 0 0 -1 -1 0 0 -1	0 0 1 -1 1 1 0 0 -1 0 1 1 -1 -1 0 0 -1	2O+4F+phi(w)
78649	rational	10	-1 0 -2 1 -1 1 0 0 1 -1 0 0 -1 -1 0 2 -1	-1 2 1 1 1 3 0 0 -1 0 -1 3 1 -5 -2 2 -1	2O+4F+phi(w)
78650	rational	10	0 -1 2 -1 1 1 0 0 -1 -1 2 -2 1 1 2 -2 -1	0 -1 -1 -1 1 -1 0 0 -1 0 1 -1 -1 3 2 0 -1	2O+4F+phi(w)
78651	genus_one	8	-1 -1 2 -1 1 1 0 -2 -3 1 0 -2 1 -1 2 0 -1	-1 1 1 -1 1 1 0 0 -1 0 -1 1 -1 -1 0 2 -1	2O+4F+phi(w)
78652	genus_one	8	0 0 -1 1 1 -1 0 0 1 -1 2 0 -1 1 0 0 -1	0 0 1 0 -1 1 0 0 1 0 -1 1 1 -1 0 0 -1	2O+4F+phi(w)
78653	rational	10	-1 0 3 -1 1 1 0 -2 -3 1 0 -2 1 1 2 0 -1	-1 2 1 0 1 1 0 0 1 0 -1 1 1 -3 -2 2 -1	2O+4F+phi(w)
78654	rational	10	0 -1 1 -1 1 1 0 0 -1 -1 2 -2 1 1 2 -2 -1	0 -1 -1 -2 1 -1 0 0 -1 0 1 -1 -1 3 2 0 -1	2O+4F+phi(w)
78655	genus_one	8	-1 -1 3 -1 1 1 0 -2 -3 1 0 -2 1 -1 2 0 -1	-1 1 1 0 1 1 0 0 -1 0 -1 1 -1 -1 0 2 -1	2O+4F+phi(w)
78656	genus_one	8	2 0 -2 0 0 0 -1 0 1 -1 2 0 -1 1 2 0 -1	0 0 0 1 0 3 1 -1 -1 0 -1 1 1 -3 0 2 -1	2O+4F+phi(w)
78657	rational	10	1 0 -2 0 0 0 -1 0 1 -1 2 0 -1 1 2 0 -1	-1 0 0 1 0 3 1 -1 -1 0 -1 1 1 -3 0 2 -1	2O+4F+phi(w)
78658	rational	10	0 1 -2 0 0 0 -1 0 3 1 -2 2 -1 -1 -2 2 1	0 1 0 1 0 1 1 -1 1 0 1 1 1 -3 -2 0 1	2O+4F+phi(w)
78659	genus_one	8	1 1 -2 0 0 0 -1 2 1 -1 0 0 -1 1 0 0 1	1 -1 -2 1 0 -1 3 -1 -1 0 1 -1 1 -1 0 0 1	2O+4F+phi(w)
78660	rational	10	0 0 -1 0 0 0 -1 0 3 1 -2 2 -1 -1 -2 2 1	0 0 0 2 0 1 1 -1 1 0 1 1 1 -3 -2 0 1	2O+4F+phi(w)
78661	genus_one	8	1 0 -1 0 0 0 -1 0 1 -1 2 0 -1 1 2 0 -1	-1 0 0 2 0 3 1 -1 -1 0 -1 1 1 -3 0 2 -1	2O+4F+phi(w)
78662	genus_one	8	2 -1 -1 0 0 0 -1 0 1 -1 2 0 -1 1 2 0 -1	0 -1 0 2 0 3 1 -1 -1 0 -1 1 1 -3 0 2 -1	2O+4F+phi(w)
78664	genus_one	8	0 0 0 -1 0 0 1 0 -1 1 -2 0 1 -1 0 0 1	0 0 -1 -1 0 -1 1 1 -1 0 1 -1 -1 1 0 0 1	2O+4F+phi(w)
78666	genus_one	8	-2 -1 2 -1 2 0 1 -2 -1 1 0 0 1 -1 0 0 -1	-2 1 1 -1 0 1 -1 1 1 0 -1 1 -1 1 0 0 -1	2O+4F+phi(w)
