atlas	direction	subgroup_rank	height	coordinate	cheap_representatives	contained	base_orbit	parity	extension_bits	quartic_bits	old_policy_parity_selected	old_policy_exact_centre_selected
earliest_support	recovered-local-02	29	1	-1/0	47	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 89501, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	101481	0	128		
earliest_support	recovered-local-03	29	368	-368/219	7	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 4761}"	232268099	1772	121		
earliest_support	recovered-local-04	29	43	43/1	18	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 109599, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	115603	0	125		
earliest_support	recovered-strict-01	29	368	-368/219	4	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 4761}"	232268099	1772	121		
earliest_support	recovered-strict-02	29	368	-368/219	4	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 4761}"	232268099	1772	121		
earliest_support	recovered-strict-03	29	368	-368/219	4	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 4761}"	232268099	1772	121		
earliest_support	residual-strict-01	29	368	-368/219	4	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 4761}"	232268099	1772	121		
earliest_support	residual-strict-02	29	368	-368/219	4	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 4761}"	232268099	1772	121		
earliest_support	residual-strict-03	29	37	22/37	1	False	"{""generic_shell"": ""genus-one nearby norm-8"", ""orbit_mask"": 17845}"	33334913	254	119		
earliest_support	residual-strict-04	29	368	-368/219	4	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 4761}"	232268099	1772	121		
earliest_support	residual-strict-05	29	368	-368/219	4	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 4761}"	232268099	1772	121		
earliest_support	residual-strict-06	29	368	-368/219	5	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 4761}"	232268099	1772	121		
earliest_support	residual-strict-07	29	286	-286/249	1	False	"{""generic_shell"": ""genus-one nearby norm-8"", ""orbit_mask"": 114326}"	196993680	1502	120		
earliest_support	recovered-local-01	30	1	-1/0	47	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 115350, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	94938	0	132		
