mask	representative
93383	1 -1 1 0 0 2 1 -1 0 0 1 1 0 -1 -1 0 -1
122669	1 0 1 1 2 -3 -4 2 -1 1 -1 -3 -1 2 -3 -1 -3
122669	1 0 1 1 4 -5 -8 2 -3 1 -1 -5 -1 4 -3 -1 -3
122669	1 -2 -1 -3 -2 5 8 -2 1 -3 1 5 1 -4 3 1 3
122669	1 0 1 1 2 -1 -4 0 -1 1 1 -3 -1 0 -3 1 -1
5953	1 0 0 0 2 -2 -3 0 -1 1 1 -2 -1 2 -2 0 -2
5953	1 0 0 0 2 -2 -3 0 -1 -1 -1 -2 1 2 0 -2 -2
5953	1 -2 0 0 0 2 3 -2 -1 -1 1 2 1 -2 0 0 0
5953	1 -2 0 -2 0 2 3 -2 1 -1 1 2 1 -2 0 0 0
7769	1 0 0 1 1 0 -1 0 0 1 1 -1 -1 0 -2 0 -2
7769	1 0 0 1 3 -2 -5 0 -2 1 1 -3 -1 2 -2 0 -2
7769	1 0 0 -1 1 -2 -1 0 0 -1 -1 -1 1 2 0 -2 -2
7769	1 0 0 -1 1 2 1 -2 0 -1 1 1 1 -2 0 0 0
12934	2 -1 1 0 2 0 -2 -1 -2 -1 2 -2 -1 -1 -2 0 0
12934	0 1 -1 0 0 0 0 -1 2 1 0 0 -1 1 0 0 0
12934	0 1 1 2 2 -4 -6 3 0 3 -2 -4 -1 5 -2 -2 -4
12934	0 1 1 2 2 -2 -4 1 0 1 0 -4 -1 1 -2 0 -2
15294	0 1 1 1 1 -3 -4 1 1 1 -2 -3 -1 3 -2 -2 -2
15294	2 -1 1 1 3 -1 -4 1 -3 1 2 -3 -1 1 -2 0 -2
15294	0 1 1 1 1 -3 -4 3 -1 1 -2 -3 1 3 0 -2 -2
15294	2 -1 1 1 3 -1 -4 1 -3 -1 0 -3 -1 1 -2 0 -2
15342	0 1 1 1 2 -3 -5 1 -1 1 0 -3 -1 3 -2 -2 -2
15342	0 1 1 1 2 -3 -5 1 -1 1 0 -3 -1 1 -2 0 -2
15342	0 1 1 3 2 -1 -5 1 -1 1 0 -3 -1 1 -2 0 -2
15342	2 -1 1 1 2 -1 -3 1 -1 1 0 -3 -1 1 -2 0 -2
18550	2 -1 1 0 1 -1 -1 0 -2 0 0 -1 0 0 -1 0 -2
18550	0 1 1 2 3 -1 -5 0 -2 0 0 -3 0 2 -1 0 -2
18550	0 1 1 2 1 -3 -5 2 -2 2 0 -3 -2 2 -1 0 0
18550	0 1 1 2 1 -3 -5 2 -2 2 0 -3 -2 2 -3 0 -2
30278	2 -1 1 0 2 -2 -3 0 -2 1 1 -2 -1 1 -3 0 -2
30278	2 -1 1 0 2 -2 -3 0 -2 -1 -1 -2 1 1 -1 -2 -2
30278	0 1 1 0 0 -2 -3 2 0 1 -1 -2 -1 1 -1 0 0
30278	0 1 1 2 0 -2 -3 2 -2 1 -1 -2 -1 1 -1 0 0
30558	0 1 1 1 3 -2 -5 0 -1 1 1 -4 -1 1 -3 0 -2
30558	2 -1 1 1 3 -2 -5 0 -3 1 1 -2 -1 1 -3 0 -2
30558	0 1 1 1 1 -2 -3 2 -1 1 -1 -2 -1 1 -1 0 0
30558	0 1 1 1 -1 -2 -3 2 -1 1 -1 -2 -1 1 -1 0 0
32606	2 -1 1 1 3 -2 -5 0 -3 1 1 -3 -1 1 -3 0 -2
32606	0 1 1 1 3 -2 -5 0 -1 1 1 -3 -1 1 -3 0 -2
32606	2 -1 1 -1 1 -2 -1 0 -1 -1 -1 -1 1 1 -1 -2 -2
32606	0 1 1 1 -1 -2 -3 2 -1 1 -1 -1 -1 1 -1 0 0
40848	2 0 0 0 3 -2 -4 1 -1 1 1 -3 -1 2 -2 -1 -2
40848	0 0 0 0 1 -2 -2 1 1 1 -1 -1 -1 2 -2 -1 -2
40848	0 0 0 2 1 0 -2 -1 -1 1 1 -1 -1 0 -2 1 0
40848	2 0 2 2 5 -6 -10 3 -5 1 -1 -7 -1 4 -4 -1 -4
46752	2 0 0 0 2 -3 -4 1 -2 1 1 -2 -1 1 -2 -1 -2
46752	0 2 0 2 2 -3 -6 1 0 1 -1 -4 -1 3 -2 -1 -2
46752	0 0 0 0 2 -3 -4 1 0 1 -1 -2 -1 3 -2 -1 -2
46752	0 0 0 0 0 1 0 -1 0 1 1 0 -1 -1 -2 1 0
49565	1 -2 -1 -3 -3 2 6 -1 1 -2 0 4 2 -2 3 -1 2
49565	1 0 1 1 1 -2 -4 1 -1 2 0 -2 -2 2 -3 1 -2
49565	1 0 -1 -1 1 0 0 -1 1 0 0 0 0 0 -1 -1 0
49565	1 0 1 1 3 -4 -6 1 -3 0 0 -4 0 2 -3 -1 -2
57276	2 0 1 1 3 -3 -6 1 -3 1 1 -3 -1 2 -3 -1 -2
57276	0 0 1 1 -1 -1 0 1 -1 -1 -1 -1 1 0 1 -1 0
57276	2 0 1 1 3 -5 -8 3 -3 1 -1 -5 -1 4 -3 -1 -4
57276	2 0 1 1 3 -1 -4 1 -3 1 1 -3 -1 0 -3 1 -2
59874	0 1 2 2 2 -5 -7 3 -1 2 -2 -5 -2 5 -3 -1 -4
59874	0 1 2 2 2 -1 -5 1 -1 2 0 -3 -2 1 -3 1 -2
59874	0 1 0 0 0 -1 -1 -1 1 0 0 -1 0 1 -1 -1 0
59874	0 1 0 0 2 -1 -3 -1 -1 0 0 -1 0 1 -1 -1 0
60643	1 -1 0 0 0 1 1 -1 0 0 1 1 -2 -1 -1 1 0
60643	1 1 2 2 4 -5 -9 3 -2 2 -1 -7 -2 5 -3 -1 -4
60643	1 1 2 2 2 -1 -5 1 -2 2 1 -3 -2 1 -3 1 -2
60643	1 -1 0 0 0 1 1 -1 0 0 1 1 0 -1 -1 -1 0
62429	1 0 1 1 1 -2 -3 1 -1 1 0 -2 -1 1 -3 -1 -2
62429	1 0 1 1 3 -4 -7 1 -3 1 0 -4 -1 3 -3 -1 -2
62429	1 0 -1 1 1 0 -1 -1 -1 1 2 0 -1 -1 -1 1 0
62429	1 0 1 1 3 -2 -5 1 -3 1 2 -4 -1 1 -3 1 -2
62807	1 1 1 2 3 -4 -7 2 -1 2 -1 -4 -1 3 -3 -1 -4
62807	1 -1 -1 -2 1 2 3 -2 1 -2 1 2 1 -1 1 -1 0
62807	1 -1 1 0 1 0 -1 0 -1 0 -1 0 1 1 -1 -1 -2
62807	1 -1 1 0 1 2 1 -2 -1 -2 1 0 1 -3 -1 1 0
63219	1 1 2 2 3 -3 -7 1 -2 1 -1 -4 -1 3 -3 -1 -2
63219	1 1 0 0 1 -3 -3 1 0 1 -1 -2 -1 3 -1 -1 -2
63219	1 -1 0 0 1 -1 -1 1 -2 -1 -1 0 1 1 1 -1 0
63219	1 -1 0 -2 -1 -1 1 1 0 -1 -1 0 1 1 1 -1 0
63443	1 1 2 2 3 -4 -7 1 -3 1 -1 -4 -1 3 -3 -1 -2
63443	1 -1 0 0 1 2 1 -1 -1 -1 3 0 -1 -3 -1 1 0
63443	1 -1 0 0 -1 2 3 -1 -1 -1 1 2 1 -3 1 1 2
63443	1 1 0 0 1 -2 -3 1 1 1 -1 -2 -1 3 -1 -1 -2
65027	1 1 2 2 4 -4 -8 2 -2 1 -1 -5 -1 3 -3 -1 -4
65027	1 -1 -2 -2 0 2 4 -2 2 -1 1 3 1 -1 1 -1 0
65027	1 -1 0 0 2 -2 -2 0 -2 -1 -1 -1 1 1 -1 -1 -2
65027	1 -1 0 0 0 2 2 -2 0 -1 1 1 1 -3 -1 1 0
66632	2 0 2 3 4 -4 -9 2 -4 2 1 -6 -2 2 -4 0 -3
66632	0 2 2 3 4 -4 -9 2 -2 2 -1 -6 -2 4 -4 0 -3
66632	0 0 0 1 0 0 -1 0 0 2 1 0 -2 0 -2 2 -1
66632	0 0 2 1 0 -2 -3 2 -2 0 -1 -2 0 2 0 0 -1
67710	0 1 1 1 1 -1 -3 0 0 2 0 -1 -2 2 -2 0 -1
67710	2 -1 1 1 1 1 -1 0 -2 0 2 -1 -2 -2 -2 2 -1
67710	0 1 1 3 3 -3 -7 2 -2 2 0 -5 -2 4 -2 0 -3
67710	0 1 -1 -1 1 -1 -1 0 2 0 0 -1 0 2 0 -2 -1
68808	0 0 0 1 -2 0 1 1 0 0 -1 1 0 0 2 0 1
68808	2 -2 0 -1 0 2 3 -1 0 -2 1 1 0 -2 0 0 -1
68808	0 0 0 1 2 0 -1 -1 0 0 1 -1 0 0 0 0 -1
