priority	mask	hex	multiplicity	witness
121	46906	0x0b73a	27	0 1 0 1 3 -1 -4 0 -1 1 1 -2 -1 1 -2 1 -2
122	99558	0x184e6	27	2 -1 1 0 2 -3 -3 1 -2 0 -1 -2 0 2 -2 -1 -3
123	28013	0x06d6d	27	1 0 -1 -1 0 1 1 -2 1 0 1 1 0 -1 -1 0 0
124	74715	0x123db	27	1 -1 0 -1 -1 2 3 -1 1 -1 0 2 0 -1 0 0 -1
125	90933	0x16335	26	1 0 1 2 3 -3 -6 2 -3 1 0 -4 -2 3 -3 0 -3
126	119443	0x1d293	26	1 1 2 2 3 -2 -6 1 -2 1 0 -4 -1 2 -3 -1 -3
127	65419	0x0ff8b	27	1 -1 0 -1 -2 2 4 -1 -1 -1 1 3 1 -3 1 1 2
128	20159	0x04ebf	26	1 1 1 1 3 -3 -6 1 -2 1 1 -5 -2 2 -3 0 -2
129	23135	0x05a5f	27	1 1 1 1 3 -2 -5 0 -2 1 0 -3 -1 2 -3 0 -2
130	117197	0x1c9cd	27	1 0 -1 -1 0 0 1 -1 1 0 0 1 0 0 -1 -1 -1
131	86455	0x151b7	26	1 1 1 2 3 -3 -6 1 -1 2 0 -4 -1 2 -3 0 -3
132	93540	0x16d64	26	2 0 1 2 4 -3 -7 2 -3 2 1 -5 -2 3 -3 0 -3
133	5736	0x01668	26	0 0 0 1 2 -1 -3 0 0 1 1 -2 -1 2 -2 0 -2
134	99898	0x1863a	26	0 1 0 1 1 -1 -2 0 0 1 1 -2 -2 0 -2 1 -1
135	15576	0x03cd8	26	0 0 0 1 1 0 -1 -1 0 0 1 -1 -1 -1 -2 0 0
136	57597	0x0e0fd	26	1 0 1 1 1 -1 -3 1 0 2 0 -2 -2 1 -3 1 -2
137	114200	0x1be18	25	2 0 0 1 3 -4 -6 2 -2 1 -1 -3 -1 3 -2 -1 -3
138	94610	0x17192	25	2 -1 0 0 1 0 0 -1 -1 0 2 0 -1 -1 -1 0 -1
139	86867	0x15353	24	1 -1 0 0 1 0 -1 0 -1 1 2 0 -1 0 -1 0 -1
140	106383	0x19f8f	25	1 -1 1 1 2 0 -2 -1 -1 1 1 -1 -1 0 -2 1 -1
141	60293	0x0eb85	24	1 0 1 2 4 -2 -6 1 -3 1 2 -5 -2 1 -3 1 -2
142	10367	0x0287f	24	1 -1 -1 -1 1 1 1 -2 0 0 2 1 0 -1 0 0 0
143	117701	0x1cbc5	24	1 0 1 2 4 -4 -7 1 -3 1 0 -5 0 2 -3 -1 -3
144	25279	0x062bf	25	1 1 1 1 3 -3 -6 1 -2 1 0 -4 -2 3 -3 0 -2
145	96263	0x17807	25	1 -1 1 0 0 0 0 0 -2 -2 0 -1 1 -1 1 0 1
146	124607	0x1e6bf	25	1 -1 -1 -1 1 3 2 -3 0 -1 3 2 0 -3 -1 1 1
147	13898	0x0364a	24	2 -1 0 1 2 -2 -3 0 -2 1 1 -2 -1 1 -2 0 -2
148	122495	0x1de7f	24	1 1 1 1 3 -5 -7 2 -2 1 -1 -5 -1 4 -3 -1 -3
149	42094	0x0a46e	24	2 -1 1 1 2 -1 -3 0 -2 0 1 -2 0 1 -2 -1 -2
150	6903	0x01af7	25	1 1 1 2 3 -5 -7 3 -2 1 -2 -5 -1 4 -2 -2 -4
151	37064	0x090c8	24	0 0 0 1 2 -2 -3 1 0 2 0 -2 -1 2 -2 -1 -2
152	63652	0x0f8a4	24	2 0 1 0 2 -3 -4 1 -2 0 0 -3 -1 1 -3 -1 -2
153	80340	0x139d4	25	2 0 1 2 3 -2 -5 1 -3 0 0 -3 -1 1 -2 0 -3
154	96780	0x17a0c	24	0 0 1 1 0 0 0 0 -2 -1 0 -1 1 -1 1 0 1
155	30561	0x07761	25	1 0 0 0 2 -1 -3 0 -1 1 1 -2 -1 1 -3 0 -2
156	44478	0x0adbe	25	0 1 1 1 1 -3 -4 1 1 2 -1 -3 -2 3 -2 -1 -2
157	65147	0x0fe7b	25	1 1 2 3 3 -3 -7 2 -2 1 -1 -5 -1 3 -3 -1 -4
158	61142	0x0eed6	25	0 1 1 2 3 -4 -7 3 0 3 -1 -5 -2 5 -3 -1 -4
159	36107	0x08d0b	25	1 1 0 1 2 -4 -6 2 -1 2 -1 -3 -2 4 -2 -1 -2
160	45800	0x0b2e8	24	0 2 0 1 2 -3 -5 1 0 1 0 -4 -1 3 -2 -1 -2
161	73661	0x11fbd	24	1 0 1 1 1 -1 -2 -1 -1 1 1 -1 -1 0 -2 0 -1
162	44707	0x0aea3	25	1 1 2 2 2 -5 -8 3 -2 3 -1 -5 -2 5 -4 -1 -4
163	131020	0x1ffcc	24	2 0 1 1 4 -4 -7 1 -3 1 1 -5 -1 3 -3 -1 -3
164	100618	0x1890a	25	2 -1 0 -1 2 -2 -2 0 -1 0 0 -1 0 0 -2 -1 -1
165	116544	0x1c740	24	0 2 2 2 2 -4 -7 2 -1 3 -1 -4 -2 4 -3 -1 -3
166	94798	0x1724e	24	0 1 1 1 2 -2 -5 0 -2 1 0 -2 -1 1 -3 0 -1
167	48907	0x0bf0b	24	1 -1 0 1 2 0 -2 0 -1 1 1 -1 -1 1 -2 1 -2
168	12214	0x02fb6	24	2 -1 1 0 1 -1 -2 1 -1 1 1 -1 -2 1 -2 0 -2
169	74792	0x12428	24	0 0 2 1 0 -1 -2 2 -2 0 -1 -2 0 1 0 0 -1
170	123840	0x1e3c0	24	2 0 2 2 4 -6 -9 3 -3 1 -2 -6 0 5 -3 -3 -5
171	56629	0x0dd35	24	1 0 1 2 3 -1 -4 0 -3 0 1 -3 -1 0 -3 1 -2
