observation_id,family,parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,realizable_defect_span_exact,collision_support_size,rational_relation_component_count,split_triple_count,split_triples_with_some_fourth,triple_fourth_incidences,split_quartet_count,simultaneous_carrier_genus,simultaneous_carrier_degree
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:16,published-R17,11992/8347,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97411887532547,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:17,published-R17,13591/9675,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97365694442404,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:18,published-R17,-10485/8323,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97322609053158,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:19,published-R17,8524/2211,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97292610039575,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:20,published-R17,-14817/4960,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97262898225586,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:21,published-R17,2798/7213,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97261271903531,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:22,published-R17,-3106/4753,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97142628684144,COMPLETE_NATIVE_ATLAS,39120,1,0,0,NOT_APPLICABLE,0,0,0,0,0,2
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:23,published-R17,9181/3402,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97141464967769,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:24,published-R17,-5195/5602,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97079491663928,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:26,published-R17,-4253/2347,17,19,2,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97074690693546,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
