RATIONAL_NAGAO_LOCAL_TABLE_V1
F CURVE302_DET1092_MW17 8 12
B D 8
P 149
1 -24 573562997443
1 -26 621359913897
1 -28 669156830350
1 -17 406273789855
1 0 0
1 -10 238984582268
1 12 -286781498721
1 -24 573562997443
1 -18 430172248082
1 -23 549664539216
1 -28 669156830350
1 -21 501867622763
1 -18 430172248082
1 -14 334578415175
1 -3 71695374680
1 -11 262883040495
1 -12 286781498721
1 -17 406273789855
1 -28 669156830350
1 -27 645258372123
1 -14 334578415175
1 -24 573562997443
1 -24 573562997443
1 -24 573562997443
1 18 -430172248082
1 -22 525766080989
1 -24 573562997443
1 -19 454070706309
1 -20 477969164536
1 -24 573562997443
1 -24 573562997443
1 -18 430172248082
1 -17 406273789855
1 -16 382375331629
1 -20 477969164536
1 -7 167289207588
1 -16 382375331629
1 -27 645258372123
1 2 -47796916454
1 -23 549664539216
1 -12 286781498721
1 -24 573562997443
1 -20 477969164536
1 -23 549664539216
1 -18 430172248082
1 -18 430172248082
1 -28 669156830350
1 -4 95593832907
1 -17 406273789855
1 -24 573562997443
1 -12 286781498721
1 -6 143390749361
1 -1 23898458227
1 -15 358476873402
1 -18 430172248082
1 -21 501867622763
1 -28 669156830350
1 -25 597461455670
1 1 -23898458227
1 -23 549664539216
1 -24 573562997443
1 -24 573562997443
1 -4 95593832907
1 -24 573562997443
1 -27 645258372123
1 12 -286781498721
1 -20 477969164536
1 -13 310679956948
1 -26 621359913897
1 -11 262883040495
1 -24 573562997443
1 -28 669156830350
1 -29 693055288577
1 7 -167289207588
1 -25 597461455670
1 -20 477969164536
1 2 -47796916454
1 -10 238984582268
1 -15 358476873402
1 -12 286781498721
1 -20 477969164536
1 -10 238984582268
1 -24 573562997443
1 -27 645258372123
1 -28 669156830350
1 -24 573562997443
1 -22 525766080989
1 12 -286781498721
1 -24 573562997443
1 -25 597461455670
1 -18 430172248082
1 -5 119492291134
1 -28 669156830350
1 13 -310679956948
1 -6 143390749361
0 0 0
1 -19 454070706309
1 -24 573562997443
1 -27 645258372123
1 -12 286781498721
1 -23 549664539216
1 -18 430172248082
1 -24 573562997443
1 -28 669156830350
1 -7 167289207588
1 4 -95593832907
1 6 -143390749361
1 -14 334578415175
1 -18 430172248082
1 -12 286781498721
1 -18 430172248082
1 -23 549664539216
1 -20 477969164536
1 -12 286781498721
1 -18 430172248082
1 -15 358476873402
1 -24 573562997443
1 -12 286781498721
1 -26 621359913897
1 -24 573562997443
1 -7 167289207588
1 -8 191187665814
1 0 0
1 -24 573562997443
1 -24 573562997443
1 -15 358476873402
